Designator,Mid X,Mid Y,Rotation,Layer
D1,247.65,-59.53125,90.0,bottom
D10,304.8,-77.390625,90.0,bottom
D11,323.85,-80.9625,90.0,bottom
D12,333.375,-92.86875,180.0,bottom
D13,247.65,-97.63125,90.0,bottom
D14,266.7,-96.440625,90.0,bottom
D15,285.75,-92.86875,90.0,bottom
D16,304.8,-96.440625,90.0,bottom
D17,323.85,-100.0125,90.0,bottom
D18,333.375,-111.91875,180.0,bottom
D19,247.65,-116.68125,90.0,bottom
D2,266.7,-58.340625,90.0,bottom
D20,266.7,-115.490625,90.0,bottom
D21,285.75,-111.91875,90.0,bottom
D22,304.8,-115.490625,90.0,bottom
D23,323.85,-119.0625,90.0,bottom
D24,314.325,-109.5375,180.0,bottom
D25,228.6,-103.584375,90.0,bottom
D26,294.084375,-123.825,180.0,bottom
D27,284.559375,-134.540625,90.0,bottom
D28,265.509375,-135.73125,90.0,bottom
D29,225.2326494381594,-135.86107260183866,75.0,bottom
D3,285.75,-54.76875,90.0,bottom
D30,135.73125,-103.584375,90.0,bottom
D31,139.3031255618406,-135.73125060183864,105.0,bottom
D32,116.68125,-59.53125,90.0,bottom
D33,116.68125,-78.58125,90.0,bottom
D34,116.68125,-97.63125,90.0,bottom
D35,116.68125,-116.68125,90.0,bottom
D36,97.63125,-58.340625,90.0,bottom
D37,97.63125,-77.390625,90.0,bottom
D38,97.63125,-96.440625,90.0,bottom
D39,97.63125,-115.490625,90.0,bottom
D4,304.8,-58.340625,90.0,bottom
D40,98.821875,-135.73125,90.0,bottom
D41,78.58125,-54.76875,90.0,bottom
D42,78.58125,-73.81875,90.0,bottom
D43,78.58125,-92.86875,90.0,bottom
D44,78.58125,-111.91875,90.0,bottom
D45,79.771875,-134.540625,90.0,bottom
D46,59.53125,-58.340625,90.0,bottom
D47,59.53125,-77.390625,90.0,bottom
D48,59.53125,-96.440625,90.0,bottom
D49,59.53125,-115.490625,90.0,bottom
D5,323.85,-61.9125,90.0,bottom
D50,70.246875,-123.825,0.0,bottom
D51,40.48125,-61.9125,90.0,bottom
D52,40.48125,-80.9625,90.0,bottom
D53,40.48125,-100.0125,90.0,bottom
D54,40.48125,-119.0625,90.0,bottom
D55,30.95625,-73.81875,0.0,bottom
D56,30.95625,-92.86875,0.0,bottom
D57,30.95625,-111.91875,0.0,bottom
D58,50.00625,-109.5375,0.0,bottom
D59,246.459375,-135.73125,90.0,bottom
D6,333.375,-73.81875,180.0,bottom
D60,117.871875,-135.73125,90.0,bottom
D7,247.65,-78.58125,90.0,bottom
D8,266.7,-77.390625,90.0,bottom
D9,285.75,-73.81875,90.0,bottom
DISPLAY1,216.69375,-84.375625,0.0,top
DISPLAY2,147.6375,-84.375625,0.0,top
J1,223.446875,-123.209375,270.0,bottom
J2,140.884375,-124.559375,90.0,bottom
R1,226.21875,-89.296875,90.0,top
R2,138.1125,-89.296875,90.0,top
S1,238.125,-57.36625,0.0,top
S10,295.275,-74.035,0.0,top
S11,314.325,-78.7975,0.0,top
S12,333.375,-81.17875,0.0,top
S13,238.125,-95.46625,0.0,top
S14,257.175,-94.275625,0.0,top
S15,276.225,-90.70375,0.0,top
S16,295.275,-93.085,0.0,top
S17,314.325,-97.8475,0.0,top
S18,333.375,-100.22875,0.0,top
S19,238.125,-114.51625,0.0,top
S2,257.175,-56.175625,0.0,top
S20,257.175,-113.325625,0.0,top
S21,276.225,-109.75375,0.0,top
S22,295.275,-112.135,0.0,top
S23,314.325,-116.8975,0.0,top
S24,333.375,-119.27875,0.0,top
S25,219.075,-101.419375,0.0,top
S26,294.084375,-131.185,0.0,top
S27,275.034375,-132.375625,0.0,top
S28,255.984375,-133.56625,0.0,top
S29,214.94278176735304,-137.21189558608415,15.0,top
S3,276.225,-52.60375,0.0,top
S30,145.25625,-101.419375,0.0,top
S31,149.38846823264697,-137.21189558608415,345.0,top
S32,126.20625,-57.36625,0.0,top
S33,126.20625,-76.41625,0.0,top
S34,126.20625,-95.46625,0.0,top
S35,126.20625,-114.51625,0.0,top
S36,107.15625,-56.175625,0.0,top
S37,107.15625,-75.225625,0.0,top
S38,107.15625,-94.275625,0.0,top
S39,107.15625,-113.325625,0.0,top
S4,295.275,-54.985,0.0,top
S40,108.346875,-133.56625,0.0,top
S41,88.10625,-52.60375,0.0,top
S42,88.10625,-71.65375,0.0,top
S43,88.10625,-90.70375,0.0,top
S44,88.10625,-109.75375,0.0,top
S45,89.296875,-132.375625,0.0,top
S46,69.05625,-54.985,0.0,top
S47,69.05625,-74.035,0.0,top
S48,69.05625,-93.085,0.0,top
S49,69.05625,-112.135,0.0,top
S5,314.325,-59.7475,0.0,top
S50,70.246875,-131.185,0.0,top
S51,50.00625,-59.7475,0.0,top
S52,50.00625,-78.7975,0.0,top
S53,50.00625,-97.8475,0.0,top
S54,50.00625,-116.8975,0.0,top
S55,30.95625,-62.12875,0.0,top
S56,30.95625,-81.17875,0.0,top
S57,30.95625,-100.22875,0.0,top
S58,30.95625,-119.27875,0.0,top
S59,236.934375,-133.56625,0.0,top
S6,333.375,-62.12875,0.0,top
S60,127.396875,-133.56625,0.0,top
S7,238.125,-76.41625,0.0,top
S8,257.175,-75.225625,0.0,top
S9,276.225,-71.65375,0.0,top
SW1,210.740625,-124.134375,90.0,top
SW2,216.69375,-91.678125,0.0,top
SW3,153.590625,-123.825,270.0,top
SW4,147.6375,-91.678125,0.0,top
U1,147.6375,-66.675,0.0,top
U2,216.69375,-66.675,0.0,top
U3,223.09375,-115.490625,90.0,top
U4,140.8875,-115.490625,270.0,top
